form,meaning,type,etymology
辂,"chariot, carriage",pictophonetic,cart
辁,limited (in talent or ability); a solid wheel without spokes,ideographic,A complete 全 wheel 车; 全 also provides the pronunciation
载,"load; to carry, to convey, to transport",pictophonetic,cart
轾,the back of a cart,pictophonetic,cart
辄,"often, readily; scattered; the weapon-rack of a chariot",pictophonetic,cart
辅,"side road; to assist, to coach, to tutor",pictophonetic,cart
轻,"light, gentle; simple, easy",pictophonetic,cart
辆,measure word for vehicles,ideographic,Two 两 carts 车; 两 also provides the pronunciation
辎,"supply cart, covered wagon, dray",pictophonetic,cart
辉,"brightness, luster",pictophonetic,light
辋,tire; wheel rim,pictophonetic,wheel
辍,"to suspend, to stop, to halt",pictophonetic,cart
辊,"to revolve, to turn; a stone roller",pictophonetic,wheel
辇,hand-cart; to transport by carriage,ideographic,Two people 夫 riding in a cart 车
辈,"generation, lifetime; contemporary",pictophonetic,wheel
轮,"wheel; to turn, to revolve; to recur",pictophonetic,wheel
辌,"carriage, hearse",pictophonetic,cart
辑,"to gather, to collect; to edit, to compile",pictophonetic,cart
辏,wheel hub; to converge,pictophonetic,wheel
输,"to carry, to haul, to transport",pictophonetic,cart
辐,"ray, spoke",pictophonetic,cart
辗,to roll over; to turn on a side,pictophonetic,cart
舆,"cart, palanquin, sedan chair",ideographic,A cart 车 carried on one's shoulder 舁
辒,hearse,pictophonetic,cart
毂,the hub of a wheel,pictophonetic,wheel
辖,"to control, to have jurisdiction; the linchpin of a wheel",pictophonetic,cart
辕,axle; magistrate's office; surname,pictophonetic,wheel
辘,"windlass, pulley, capstan",pictophonetic,wheel
转,"to move, to convey; to turn, to revolve, to circle; to forward mail",pictophonetic,cart
辙,"track, rut; stuck in a rut",ideographic,Something left 育 by a cart 车 when it moves 攵
轿,"sedan-chair, palanquin, litter",ideographic,A lofty 乔 carriage 车; 乔 also provides the pronunciation
辚,the rumbling of wheels,pictophonetic,cart
轗,to fail; to face misfortune,pictophonetic,cart
轘,"punishment, torture; to tear asunder between two chariots",pictophonetic,cart
轰,"rumble, explosion, blast",ideographic,The thunderous sound of a pair 双 of carts 车
辔,"bridle, reins",ideographic,Rope 纟 yoking a horse to a chariot 车 by its mouth 口
轹,to run over something in a vehicle,pictophonetic,cart
轳,"pulley, windlass, capstan",pictophonetic,wheel
辛,"bitter; toilsome, laborious; 8th heavenly stem",pictographic,A hot iron used to brand prisoners and slaves
辜,"crime, offense, sin",pictophonetic,bitter
辟,"law, rule; to open up, to develop",ideographic,"A body 尸 decapitated 口 by a sword 辛 , representing the law"
辣,"pepper; hot, spicy; cruel",pictophonetic,bitter
辞,"words, speech; to resign, to take leave",ideographic,Bitter 辛 words 舌
办,"to set up; to manage, to run; to deal with, to handle",pictophonetic,strength
辨,"to recognize, to distinguish, to discriminate",ideographic,To separate 刂 two alternatives 辛
辫,"braid, pigtail, plait; queue",pictophonetic,thread
辩,"to argue, to dispute; to discuss, to debate",ideographic,A bitter 辛 exchange of words 讠
辰,"early morning; fortune, good luck; 5th terrestrial branch",,
辱,"to insult, to humiliate, to abuse",,
农,"agriculture, farming; farmer",pictographic,"Simplified form of 農, tilling the field 田 with a hoe 辰"
辵,to walk; walking,pictophonetic,foot
辶,to walk; walking,pictographic,A foot stepping
迂,"abstruse, pedantic, unrealistic",pictophonetic,walk
迄,"to extend, to reach; till, until",pictophonetic,walk
迅,"quick, hasty; sudden, rapid",ideographic,To walk 辶 quickly 卂; 卂 also provides the pronunciation
迎,"to welcome, to receive, to greet",pictophonetic,walk
近,"to approach; near, close; intimate",pictophonetic,walk
迓,to receive a guest,pictophonetic,walk
返,"to restore, to return, to revert to",ideographic,To walk 辶 backwards 反; 反 also provides the pronunciation
迕,"obstinate, perverse",pictophonetic,walk
迢,"distant, far",pictophonetic,walk
迤,"winding, meandering",pictophonetic,walk
迦,used in transliterations,pictophonetic,walk
迨,"while, until; to seize, to arrest",pictophonetic,walk
迪,"to advance, to enlighten, to make progress",ideographic,To walk 辶 with purpose 由
迭,"repeatedly, frequently",pictophonetic,walk
迮,to press; hasty; cramped,pictophonetic,walk
述,"to express, to state; to narrate, to tell",pictophonetic,walk
迶,to walk,pictophonetic,walk
迷,"to bewitch, to charm; a fan of; infatuated",pictophonetic,walk
迸,"to gush, to burst; to crack, to split",pictophonetic,walk
追,"to pursue, to chase after; to expel",pictophonetic,walk
退,"to retreat, to step back, to withdraw",pictophonetic,walk
送,"to see off, to send off, to dispatch; to give",ideographic,A person waving 关 to someone walking away 辶
适,"match, comfortable; just",pictophonetic,walk
逃,"to abscond, to dodge, to escape, to flee",pictophonetic,walk
逄,surname,pictophonetic,walk
逅,to meet unexpectedly,pictophonetic,walk
逆,"to disobey, to rebel; traitor, rebel",ideographic,A disobedient 屰 person 辶; 屰 also provides the pronunciation
逋,"to flee, to run away; to leave a debt unsettled",pictophonetic,walk
逍,"to ramble, to stroll; to jaunt, to loiter",pictophonetic,walk
透,"to pierce, to penetrate, to pass through; thorough",pictophonetic,walk
逐,to pursue; to expel; step by step,pictophonetic,walk
逑,"to unite, to collect; pair, match",pictophonetic,walk
途,"way, road, path, journey, course",pictophonetic,walk
迳,"way, path; straight, direct; to approach",pictophonetic,walk
逖,"distant, far; to keep at a distance",pictophonetic,walk
逗,"to entice, to tempt; to arouse, to stir",pictophonetic,walk
这,"this, these; such; here",,
通,"to pass through, to open, to connect; to communicate; common",pictophonetic,walk
逛,"to ramble, to stroll, to wander",pictophonetic,walk
逝,"to die, to pass away",pictophonetic,walk
逞,"indulge oneself; brag, show off",pictophonetic,walk
速,"prompt, quick, speedy",pictophonetic,walk
造,"to build, to construct, to invent, to manufacture",pictophonetic,walk
逡,"to withdraw, to retreat, to fall back",pictophonetic,walk
逢,"to happen to meet; chance meeting, coincidence",pictophonetic,walk
连,"to join, to connect; continuous; even",ideographic,A cart 车 moving 辶 goods between cities
逭,"to flee, to escape, to avoid",pictophonetic,walk
逮,"to catch, to seize; to arrive, to reach",pictophonetic,walk
逯,to leave without a reason; surname,pictophonetic,walk
进,"to advance, to make progress; to come in, to enter",pictophonetic,walk
逵,"thoroughfare, crossroads",pictophonetic,walk
逶,"winding, curving; to swagger",pictophonetic,walk
逸,"to flee, to escape, to break loose",ideographic,To run 辶 like a rabbit 兔
遁,"to flee, to escape; to hide, to conceal oneself",ideographic,To escape 辶 to shelter 盾; 盾 also provides the pronunciation
遂,"to fail; to follow, to comply with",pictophonetic,walk
遄,to hurry; to go to and fro,pictophonetic,walk
遇,"to meet, to encounter, to come across",pictophonetic,walk
运,"to run; ship, transport; fortune, luck",pictophonetic,walk
过,"pass; to go across, to pass through",pictophonetic,walk
遏,"to curb, to check, to stop, to suppress",pictophonetic,walk
遐,"distant, far; to abandon, to cast away",pictophonetic,walk
遑,"leisurely; hurried, anxious",pictophonetic,walk
遒,"robust, strong; unyielding",pictophonetic,walk
道,"method, way; path, road",pictophonetic,walk
达,"to reach, to arrive at; intelligent",pictophonetic,
违,"to violate, to disobey, to defy; to separate from",pictophonetic,walk
遘,to meet; to come across,pictophonetic,walk
遥,"distant, remote",pictophonetic,walk
遛,"to walk, to stroll",pictophonetic,walk
逊,"humble, modest; to yield",pictophonetic,walk
递,"to deliver, to hand over; substitute",pictophonetic,walk
远,"distant, remote, far; profound",pictophonetic,walk
遢,"careless, negligent, slipshod",pictophonetic,walk
遣,"to send, to dispatch; to exile, to send off",pictophonetic,walk
遨,"to ramble, to roam; to travel for pleasure",ideographic,To walk 辶 about 敖; 敖 also provides the pronunciation
遭,"to meet, to encounter, to come across",pictophonetic,walk
遮,"to cover, to protect, to shield",pictophonetic,walk
迟,"tardy, slow, late; to delay",pictophonetic,walk
遴,"to select, to choose; surname",pictophonetic,walk
遵,"to follow, to comply with; to honor",ideographic,To follow 辶 or honor 尊 someone; 尊 also provides the pronunciation
迁,"to shift, to move; to transfer, to change",pictophonetic,walk
选,"to select, to elect, to choose; election",pictophonetic,walk
遗,to lose; a lost article,ideographic,To leave 辶 something valuable 贵 behind
辽,"distant, far",pictophonetic,walk
遽,"rapid, sudden, unexpected",pictophonetic,walk
避,"to avoid, to turn away; to escape, to hide",pictophonetic,foot
邀,"to invite, to welcome; to intercept, to meet",pictophonetic,foot
迈,"old; to pass by, to take a stride",ideographic,To take ten thousand 万 steps 辶
邂,an unexpected meeting,pictophonetic,walk
邃,"profound, mysterious, deep",pictophonetic,cave
还,"also, besides; still, yet; to return",ideographic,Not 不 moving 辶
迩,"near, close; recent",pictophonetic,walk
邈,"distant, remote; profound",pictophonetic,walk
边,"border, edge, margin, side",pictophonetic,walk
邋,sloppy; rags,pictophonetic,walk
逻,"to patrol, to inspect; patrol, watch; logic",pictophonetic,walk
逦,"winding, meandering",pictophonetic,walk
邑,"area, district, city, state",ideographic,A place 口 where people hope 巴 to settle
邕,former or literary name for Nanning (in Guangxi),ideographic,The area 邑 around a river 巛
邗,an ancient place in the state of Wu,pictophonetic,place
邘,a state in Henan province,pictophonetic,place
邙,a mountain in Henan province,pictophonetic,place
邛,mound; in distress,pictophonetic,hill
邠,a county in Shaanxi province,pictophonetic,place
邡,a district in Sichuan province,pictophonetic,place
邢,a state in Hebei province; surname,pictophonetic,place
那,"that, that one, those",,
邦,"country, nation, state",ideographic,A bountiful 丰 place 阝
邨,"village, hamlet; rustic",ideographic,A rustic 屯 town 阝; 阝 also provides the pronunciation
邯,a district in Hebei province,pictophonetic,place
邰,a state in Shanxi province; surname,pictophonetic,place
邱,"mound, hill; grave; surname",ideographic,A place 阝 on a hill 丘; 丘 also provides the pronunciation
邳,a department in the state of Lu,pictophonetic,place
邴,"an ancient city; pleased, happy; surname",pictophonetic,city
邵,various place names; surname,pictophonetic,place
邶,a place in Henan province,pictophonetic,place
邸,official residence,pictophonetic,place
邾,an ancient feudal state in Shandong province,pictophonetic,place
郄,surname,,
郅,"to grow, to flourish; superlative",pictophonetic,city
郇,an ancient feudal state in Shaanxi province,pictophonetic,place
郊,"suburbs, outskirts; wasteland, open space",pictophonetic,place
郎,"gentleman, young man; husband",ideographic,A man from a good 良 place 阝;  良 also provides the pronunciation
郗,an ancient city; surname,pictophonetic,city
郛,suburbs; city walls,pictophonetic,city
郜,a feudal state in Shantong; surname,pictophonetic,place
郝,a place in Shanxi province; surname,pictophonetic,place
郏,a county in Henan province; surname,pictophonetic,place
郡,"county, region, administrative division",pictophonetic,place
郢,a state in Hubei province,pictophonetic,place
郤,"crack, crevice; gap, interval; surname",pictophonetic,valley
部,"department, ministry; division, unit; part, section",pictophonetic,place
郫,,pictophonetic,place
郭,city limits; surname,ideographic,A tall building 享 at the edge of a city 阝
郯,an ancient city; surname,pictophonetic,city
郴,a county in Hunan province; surname,pictophonetic,place
邮,mail; post office,pictophonetic,place
都,"all, each, entirely, whole; metropolis; capital",pictophonetic,city
郾,a county in Henan province,pictophonetic,place
鄂,Hubei province; startled,pictophonetic,place
鄄,a district in Shandong province,pictophonetic,place
郓,an ancient town; surname,pictophonetic,town
乡,"country, village; rural",,
鄋,a county in Shandong province,pictophonetic,place
邹,an ancient state; surname,pictophonetic,place
邬,various place names; surname,pictophonetic,place
郧,a county in Hubei province,pictophonetic,place
鄙,"rustic, vulgar; to despise, to scorn",pictophonetic,village
鄞,a county in Zhejiang province,pictophonetic,place
鄢,a district in Henan province,pictophonetic,place
鄣,an ancient city in Jiangsu province,pictophonetic,city
鄦,surname,pictophonetic,place
邓,surname,pictophonetic,place
郑,state in today's Henan; surname,ideographic,A city 阝 guarding a pass 关
鄯,an ancient district in Gansu province,pictophonetic,place
邻,neighbor; neighborhood,pictophonetic,town
鄱,a county and lake in Jiangxi province,pictophonetic,place
郸,a county in Hebei province,pictophonetic,place
邺,a place in Henan province,pictophonetic,place
郐,a state in Henan province,pictophonetic,place
鄹,the name of a state; surname,pictophonetic,place
邝,surname,pictophonetic,place
酃,a district in Hunan province,pictophonetic,place
酆,the name of a Zhou-period state,pictophonetic,place
郦,a place in Henan province,pictophonetic,place
